Framework,Category,Rule_or_Concept,Rationale,Example,,
Haladyna,Content,1. Test a single specific mental behavior.,Ensures validity by measuring only the intended construct without confounding variables.,Which of the following is the primary cause of X?,,
Haladyna,Content,2. Base each item on important content.,Testing trivial knowledge does not adequately measure meaningful student learning.,What is the key turning point in the novel? (Not: What color was the protagonist's hat?),,
Haladyna,Content,3. Use novel material to test higher-level learning.,Paraphrasing instructional language avoids testing mere rote recall.,Based on the new scenario described above...,,
Haladyna,Content,4. Keep item content independent of other items.,Prevents one item from providing clues to the answer of another item on the test.,(Avoid referencing the answer to question 4 in the stem of question 5).,,
Haladyna,Content,5. Avoid overspecific and overgeneral content.,Overspecifics test trivia while overgenerals are too ambiguous to measure learning.,What is the general principle of...,,
Haladyna,Content,6. Avoid opinion-based items.,Answers must be factually or logically correct to be objectively graded.,According to the theory... (Not: Who is the best author...),,
Haladyna,Content,7. Avoid trick items.,Trick questions test reading ability and test-taking savvy rather than true content knowledge.,(Avoid deliberately misleading wording designed to trick the reader).,,
Haladyna,Content,8. Keep the vocabulary simple.,Ensures reading comprehension does not interfere with testing the actual content.,"Use simpler words like ""build"" instead of ""fabricate"" for younger learners.",,
Haladyna,Formatting,9. Format the item vertically.,Reduces visual confusion and reading errors when scanning options.,A) Option 1 \n B) Option 2 \n C) Option 3,,
Haladyna,Style,11. Edit and proofread items.,Errors reduce clarity and overall professionalism.,Ensure correct spelling and formatting before deployment.,,
Haladyna,Style,12. Use correct grammar and punctuation.,Grammatical inconsistencies can inadvertently give away the correct answer.,"(Avoid ending the stem with ""an"" if only one option starts with a vowel).",,
Haladyna,Style,13. Minimize the amount of reading.,Avoids cognitive fatigue and ensures the assessment measures content rather than reading speed.,Keep sentences in the stem short and direct.,,
Haladyna,Stem Construction,14. Ensure directions in the stem are clear.,Students must know exactly what is being asked of them before reading the options.,Select the BEST answer for the following...,,
Haladyna,Stem Construction,15. Include the central idea in the stem.,Students should know the fundamental question before reading the choices.,What is the capital of France? (Not: France is a...),,
Haladyna,Stem Construction,16. Avoid window dressing.,Irrelevant information distracts the student and increases cognitive load.,Why does the earth revolve around the sun? (Omit the long introductory story about Galileo).,,
Haladyna,Stem Construction,17. Avoid negatively stated stems.,Negative phrasing tests reading ability and can confuse students.,Which is a cause... (Not: Which is NOT a cause).,,
Haladyna,Option Development,18. Develop as many effective choices as you can.,While 3 is often adequate, ensuring all options are functional prevents guessing.,Three solid options are better than five where two are obviously incorrect.,
Haladyna,Option Development,19. Make sure only one choice is the correct answer.,Having multiple defensibly correct choices frustrates students and harms validity.,Ensure all distractors are definitively incorrect.,,
Haladyna,Option Development,20. Vary the location of the correct answer.,Students might notice patterns and guess based on position rather than knowledge.,"Randomize A, B, C, D, assignment across test",,
Haladyna,Option Development,21. Place choices in logical or numerical order.,Helps students scan answers efficiently and reduces unnecessary cognitive load.,"A) 1 B) 2 C) 3 D) 4 (Not 3, 1, 4, 2)",,
Haladyna,Option Development,22. Keep choices independent.,Overlapping options provide logical clues allowing test-takers to eliminate answers.,A) 1-3 B) 4-6 (Not A) 1-3 B) 2-4).,,
Haladyna,Option Development,23. Keep choices homogeneous.,Distinctly different options stand out and visually cue the student.,"If testing history, ensure all options are historical dates.",,
Haladyna,Option Development,24. Keep the length of choices equal.,"Test-takers often guess that the longest,  most detailed answer is the correct one.","Ensure A, B, C, and D are similar word count",,
Haladyna,Option Development,25. Use 'None of the above' carefully.,It can turn a multiple-choice item into a true/false item for every single option.,Use only when absolute correctness is required (e.g., in math equations).,
Haladyna,Option Development,26. Avoid 'All of the above'.,If a student knows two options are correct, they know this is the answer without knowing the third.,Use distinct, individual options instead.
Haladyna,Option Development,27. Phrase choices positively.,Negatives in options are highly confusing, especially if the stem is also negative.,A) It is true. (Not: A) It is not false).,
Haladyna,Option Development,28. Avoid clues to the right answer.,Specific determiners (always/never) or clang associations give away the answer to savvy test-takers.,Avoid repeating a distinct word from the stem in the correct option.,,
Haladyna,Option Development,29. Make all distractors plausible.,Implausible distractors are ignored, effectively reducing the number of valid choices.,Use common misconceptions instead of silly answers.,
Haladyna,Option Development,30. Use typical student errors to write distractors.,This provides diagnostic information to the teacher about where learning broke down.,In a math problem, include the answer resulting from a common addition error.,
Haladyna,Option Development,31. Use humor with caution.,Humor can distract or confuse, especially on high-stakes exams or across cultures.,Avoid silly joke options on summative assessments.,
Bloom,Remember,Retrieving relevant knowledge from long-term memory.,Tests basic factual recall and recognition.,What is the definition of photosynthesis?,,
Bloom,Understand,Constructing meaning from instructional messages.,"Tests ability to classify, summarize, or infer.",Which statement best summarizes the author's main argument?,,
Bloom,Apply,Carrying out or using a procedure in a given situation.,Tests ability to execute or implement knowledge.,Calculate the area of a circle with a radius of 5.,,
Bloom,Analyze,Breaking material into parts and determining how they relate.,"Tests ability to differentiate, organize, or attribute.",Contrast the economic policies of candidate A and candidate B.,,
Bloom,Evaluate,Making judgments based on criteria and standards.,Tests ability to check or critique.,Which of the following is the most effective solution to the problem and why?,,
Bloom,Create,Putting elements together to form a coherent whole.,"Tests ability to generate, plan, or produce.",Formulate a hypothesis based on the provided dataset.,,
